"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"576","Klim Kostin","EDM","C","12","119.01666666667","2","2","1","1","4","80.00","19","10.53","1.95","29","24","19","10","0","1","11","4","3","1","0","7","3","2","26","14","3","1","1","50.00"
"583","MacKenzie Entwistle","CHI","R","26","306.4","1","3","2","1","4","40.00","19","5.26","2.25","46","31","23","10","0","4","6","3","3","0","0","3","6","6","47","30","11","37","36","50.68"
"588","Henri Jokiharju","BUF","D","16","326.28333333333","1","3","2","1","4","25.00","20","5.00","0.52","32","21","6","1","1","3","12","6","6","0","0","1","12","6","16","22","19","0","0","-"
"614","Johnathan Kovacevic","MTL","D","24","409.15","1","3","1","2","4","21.05","34","2.94","1.78","68","44","24","4","0","8","12","6","6","0","0","4","27","14","26","35","25","0","0","-"
"616","Emil Bemstrom","CBJ","R","7","90.316666666667","2","2","1","1","4","44.44","16","12.50","1.97","27","21","15","5","0","3","2","1","1","0","0","1","1","4","5","4","1","1","2","33.33"
"641","Martin Fehervary","WSH","D","26","522.05","2","2","1","1","4","21.05","36","5.56","2.14","73","46","20","4","3","5","10","5","5","0","0","7","11","4","83","70","39","0","0","-"
"686","Pontus Holmberg","TOR","R","14","135.96666666667","2","2","2","0","4","80.00","9","22.22","0.95","17","14","10","3","0","0","2","1","1","0","0","3","2","1","10","14","9","33","44","42.86"
"704","Brett Leason","ANA","R","22","247.15","3","1","0","1","4","50.00","19","15.79","1.59","36","28","17","7","3","1","4","2","2","0","0","2","4","5","16","22","8","1","2","33.33"
"732","Joel Kiviranta","DAL","L","28","345.5","4","0","0","0","4","50.00","38","10.53","4.21","58","46","38","19","2","4","18","7","7","0","0","2","4","10","51","50","10","1","4","20.00"
"743","Dylan Holloway","EDM","L","24","204.28333333333","1","3","0","3","4","66.67","14","7.14","2.16","34","28","25","14","4","2","6","3","3","0","0","6","7","7","36","28","5","13","20","39.39"
"764","Artem Zub","OTT","D","14","308.3","2","2","0","2","4","44.44","15","13.33","0.65","38","18","15","2","2","6","10","5","5","0","0","1","7","1","52","32","16","0","0","-"
"781","Nick Cicek","S.J","D","10","149.86666666667","0","4","1","3","4","100.00","1","0.00","0.08","13","3","9","1","1","0","11","4","3","1","0","3","4","1","14","21","11","0","0","-"
"13","Alex Goligoski","MIN","D","14","245.71666666667","1","2","1","1","3","21.43","22","4.55","1.02","42","25","12","4","3","2","0","0","0","0","0","1","5","1","12","9","22","0","0","-"
"25","Ryan Reaves","MIN, NYR","R","20","186.28333333333","0","3","2","1","3","42.86","8","0.00","1.03","15","13","8","4","1","2","14","4","2","2","0","4","4","6","61","11","7","3","5","37.50"
"27","Patric Hornqvist","FLA","R","22","203.88333333333","1","2","2","0","3","60.00","40","2.50","5.15","66","55","45","27","6","9","13","5","4","1","0","9","0","5","18","27","8","1","5","16.67"
"77","Zac Dalpe","FLA","C","4","40.45","2","1","0","1","3","75.00","3","66.67","0.16","5","3","3","1","0","0","2","1","1","0","0","0","0","0","8","3","3","9","10","47.37"
"82","TJ Brodie","TOR","D","17","358.61666666667","0","3","0","3","3","23.08","19","0.00","1.1","34","23","11","3","0","4","4","2","2","0","0","7","11","8","17","32","25","0","0","-"
"84","Derek Grant","ANA","C","15","206.91666666667","2","1","1","0","3","100.00","22","9.09","2.3","40","27","19","10","1","2","8","4","4","0","0","1","4","9","17","11","10","81","76","51.59"
"116","Craig Smith","BOS","C","15","149.3","1","2","0","2","3","42.86","18","5.56","1.18","31","23","17","5","3","3","6","3","3","0","0","4","5","4","13","21","3","0","1","0.00"
"132","Justin Holl","TOR","D","29","624.2","1","2","0","2","3","14.29","25","4.00","1.13","45","27","16","5","1","3","18","9","9","0","0","8","15","11","59","113","57","0","0","-"
