"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"69","Jeremy Swayman","BOS","10","492.3","204","181","23","0.887","2.80","-3.49","19.21","60","51","9","0.850","1.10","1.73","64","50","14","0.781","1.71","-7.09","64","64","0","1.000","0.00","2.56","21","29","36.60","21.04"
"29","Anthony Stolarz","ANA","13","536.96666666667","317","281","36","0.886","4.02","-5.68","33.33","109","94","15","0.862","1.68","4.50","91","81","10","0.890","1.12","-0.17","100","89","11","0.890","1.23","-7.00","20","61","32.19","26.56"
"15","Sergei Bobrovsky","FLA","14","769.61666666667","387","342","45","0.884","3.51","-7.98","38.05","106","79","27","0.745","2.10","-8.04","101","93","8","0.921","0.62","2.91","155","145","10","0.935","0.78","-3.81","25","65","36.41","19.73"
"19","Petr Mrazek","CHI","9","503.36666666667","293","259","34","0.884","4.05","-5.97","25.71","71","59","12","0.831","1.43","0.70","86","74","12","0.860","1.43","-2.71","121","111","10","0.917","1.19","-5.17","20","44","36.66","24.65"
"40","Thatcher Demko","VAN","15","854.61666666667","479","423","56","0.883","3.93","-10.18","42.98","146","116","30","0.795","2.11","-3.88","138","121","17","0.877","1.19","-2.09","165","156","9","0.945","0.63","-2.41","35","60","35.43","21.50"
"18","Philipp Grubauer","SEA","8","429.81666666667","195","172","23","0.882","3.21","-4.35","19.98","63","49","14","0.778","1.95","-2.73","54","46","8","0.852","1.12","-2.17","63","62","1","0.984","0.14","1.52","8","28","34.78","19.61"
"72","Collin Delia","VAN","1","43.25","17","15","2","0.882","2.77","-0.37","2.57","6","4","2","0.667","2.77","-0.93","6","6","0","1.000","0.00","0.65","5","5","0","1.000","0.00","0.20","1","5","28.41","13.50"
"41","Alex Nedeljkovic","DET","9","513.61666666667","292","257","35","0.880","4.09","-7.07","24.2","77","60","17","0.779","1.99","-3.23","84","75","9","0.893","1.05","0.08","116","107","9","0.922","1.05","-4.37","36","36","36.63","23.49"
"48","Mackenzie Blackwood","N.J","7","366.1","142","125","17","0.880","2.79","-3.42","14.64","33","29","4","0.879","0.66","1.90","41","32","9","0.780","1.48","-4.57","61","57","4","0.934","0.66","-1.56","9","19","37.35","25.94"
"46","Kaapo Kahkonen","S.J","12","695.08333333333","350","307","43","0.877","3.71","-9.52","32.09","79","59","20","0.747","1.73","-5.87","122","103","19","0.844","1.64","-5.82","131","127","4","0.969","0.35","1.23","20","54","35.79","21.65"
"16","Jack Campbell","EDM","13","727.81666666667","391","341","50","0.872","4.12","-12.60","36.91","103","74","29","0.718","2.39","-10.57","102","88","14","0.863","1.15","-2.98","162","155","7","0.957","0.58","-0.53","27","59","35.05","18.64"
"34","Cal Petersen","L.A","10","543.46666666667","257","223","34","0.868","3.75","-9.42","22.35","62","48","14","0.774","1.55","-2.91","83","72","11","0.867","1.21","-2.03","101","92","9","0.911","0.99","-4.96","9","33","33.66","24.76"
"57","Connor Ingram","ARI","8","433.18333333333","247","214","33","0.866","4.57","-9.37","23.9","69","51","18","0.739","2.49","-5.66","77","67","10","0.870","1.39","-1.68","91","86","5","0.945","0.69","-1.36","12","32","33.16","19.88"
"43","Elvis Merzlikins","CBJ","12","585.55","340","293","47","0.862","4.82","-14.48","30.11","80","58","22","0.725","2.25","-7.69","89","73","16","0.820","1.64","-6.38","159","150","9","0.943","0.92","-2.65","14","52","35.79","24.94"
"66","Ukko-Pekka Luukkonen","BUF","6","361.66666666667","171","146","25","0.854","4.15","-8.64","18.12","60","43","17","0.717","2.82","-6.27","54","49","5","0.907","0.83","0.83","52","49","3","0.942","0.50","-0.92","12","23","32.51","16.76"
