"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"658","Calen Addison","MIN","D","44","163.78333333333","0","17","8","9","17","56.67","18","0.00","1.19","33","23","4","0","0","2","0","0","0","0","0","1","2","2","1","1","1","0","0","-"
"300","Artturi Lehkonen","COL","L","42","173.83333333333","7","9","0","9","16","51.61","25","28.00","4.76","48","39","37","21","0","5","2","1","1","0","0","2","1","0","7","6","0","0","0","-"
"365","Brayden Point","T.B","C","45","177.45","9","7","3","4","16","53.33","34","26.47","6.44","59","49","56","33","5","5","0","0","0","0","0","1","4","5","2","7","0","38","35","52.05"
"402","Timo Meier","S.J","R","48","147.53333333333","12","4","3","1","16","69.57","55","21.82","6.29","83","70","46","17","1","9","0","0","0","0","0","0","3","2","2","5","0","1","0","100.00"
"417","Mathew Barzal","NYI","C","48","169.3","3","13","5","8","16","84.21","32","9.38","3.44","54","41","35","4","0","8","4","2","2","0","0","1","18","3","1","1","0","3","4","42.86"
"473","Adam Fox","NYR","D","47","187.33333333333","1","15","4","11","16","57.14","26","3.85","2.63","69","42","30","4","1","4","2","1","1","0","0","1","4","5","0","4","4","0","0","-"
"503","Jordan Kyrou","STL","C","44","125","9","7","4","3","16","80.00","29","31.03","3.17","52","37","41","6","0","2","0","0","0","0","0","0","3","0","0","5","0","0","0","-"
"704","Matt Boldy","MIN","L","45","173.31666666667","6","10","6","4","16","50.00","43","13.95","5.96","79","63","47","13","0","7","0","0","0","0","0","1","3","1","0","5","0","4","6","40.00"
"8","Joe Pavelski","DAL","C","49","142.83333333333","7","8","1","7","15","51.72","37","18.92","6.61","54","49","42","30","1","9","2","1","1","0","0","1","3","1","1","2","2","36","26","58.06"
"35","Claude Giroux","OTT","R","46","133.7","3","12","5","7","15","68.18","21","14.29","2.5","48","36","17","5","1","5","0","0","0","0","0","0","1","0","1","2","0","40","31","56.34"
"54","Patrick Kane","CHI","R","42","152.18333333333","2","13","5","8","15","68.18","50","4.00","4.09","76","61","25","5","0","2","4","2","2","0","0","0","4","3","0","1","1","0","0","-"
"99","Nazem Kadri","CGY","C","48","153.01666666667","9","6","2","4","15","62.50","42","21.43","6.15","69","57","49","21","0","9","4","2","2","0","0","1","6","0","2","12","0","67","38","63.81"
"131","Tyler Toffoli","CGY","R","48","150.3","6","9","6","3","15","60.00","36","16.67","5.27","71","52","41","16","1","3","2","1","1","0","0","1","5","0","2","7","1","0","0","-"
"132","Evgeny Kuznetsov","WSH","C","48","154.88333333333","4","11","3","8","15","78.95","35","11.43","4.35","64","52","30","10","0","5","2","1","1","0","0","1","10","3","1","7","0","22","18","55.00"
"141","Kevin Hayes","PHI","C","47","145.9","6","9","4","5","15","78.95","22","27.27","2.29","52","35","13","2","0","4","0","0","0","0","0","0","4","1","1","3","0","34","34","50.00"
"195","Mark Scheifele","WPG","C","48","160.78333333333","9","6","3","3","15","48.39","36","25.00","6.7","64","56","48","24","1","7","2","1","1","0","0","1","4","2","2","5","0","50","65","43.48"
"268","Dominik Kubalik","DET","L","45","138.88333333333","7","8","6","2","15","78.95","39","17.95","4.93","73","56","32","4","0","2","4","2","2","0","0","2","2","1","1","2","1","5","6","45.45"
"348","Tony DeAngelo","PHI","D","43","149.7","3","12","5","7","15","75.00","26","11.54","1.75","47","31","12","2","0","3","0","0","0","0","0","1","5","3","2","3","0","0","0","-"
"419","Roope Hintz","DAL","C","41","113.01666666667","4","11","4","7","15","51.72","20","20.00","3.31","38","27","33","16","2","3","2","1","1","0","0","1","4","0","2","1","1","8","5","61.54"
"475","Charlie McAvoy","BOS","D","33","87.25","1","14","4","10","15","83.33","5","20.00","0.49","13","8","3","0","0","1","2","1","1","0","0","2","4","1","1","6","0","0","0","-"
"512","Mikhail Sergachev","T.B","D","43","104.61666666667","2","13","5","8","15","93.75","9","22.22","0.67","22","13","9","1","0","3","2","1","1","0","0","0","3","5","0","1","3","0","0","-"
"5","Brent Burns","CAR","D","46","164.68333333333","2","12","5","7","14","66.67","35","5.71","2.85","77","49","18","1","1","2","4","2","2","0","0","0","4","5","0","3","5","0","0","-"
"65","Drew Doughty","L.A","D","48","154.56666666667","2","12","6","6","14","66.67","31","6.45","2.77","54","39","19","3","4","4","8","4","4","0","0","0","2","0","7","4","2","0","0","-"
"309","Elias Lindholm","CGY","C","47","146.18333333333","7","7","4","3","14","63.64","37","18.92","6.85","55","47","42","21","1","7","0","0","0","0","0","0","0","1","3","4","1","51","45","53.13"
"315","Max Domi","CHI","C","45","146.05","7","7","2","5","14","63.64","36","19.44","3.17","68","44","24","7","0","3","6","3","3","0","0","1","6","3","1","1","0","18","15","54.55"
"347","Alex Tuch","BUF","R","46","163.65","5","9","6","3","14","45.16","21","23.81","3.53","30","27","23","15","0","5","2","1","1","0","0","2","0","3","0","4","1","1","2","33.33"
"391","Rasmus Andersson","CGY","D","48","150.81666666667","0","14","7","7","14","58.33","23","0.00","1.66","54","32","12","0","0","7","2","1","1","0","0","1","2","2","3","3","3","0","0","-"
"414","Dylan Strome","WSH","C","48","170.98333333333","3","11","8","3","14","56.00","23","13.04","4.89","36","32","28","20","0","6","4","2","2","0","0","0","7","1","1","4","0","66","66","50.00"
"433","Joel Eriksson Ek","MIN","C","45","162.63333333333","7","7","2","5","14","46.67","45","15.56","10.14","61","60","58","46","0","10","10","5","5","0","0","4","2","1","7","12","0","103","79","56.59"
"558","Nico Hischier","N.J","C","45","146.35","6","8","5","3","14","56.00","31","19.35","5.58","53","43","41","24","0","8","2","1","1","0","0","1","2","0","1","4","1","111","72","60.66"
"569","Robert Thomas","STL","C","46","139.61666666667","3","11","6","5","14","58.33","19","15.79","2.17","33","25","19","6","0","0","2","1","1","0","0","0","10","1","1","5","0","64","48","57.14"
"577","Martin Necas","CAR","C","46","162.4","6","8","6","2","14","60.87","28","21.43","3.36","58","44","25","4","1","3","2","1","1","0","0","2","9","1","1","7","0","27","24","52.94"
"694","Dylan Cozens","BUF","C","46","139.66666666667","3","11","4","7","14","58.33","24","12.50","2.91","47","33","23","6","0","3","2","1","1","0","0","0","3","0","0","4","0","58","44","56.86"
"731","Lucas Raymond","DET","L","45","131.78333333333","5","9","2","7","14","82.35","18","27.78","2.89","31","22","18","7","0","9","2","1","1","0","0","1","2","1","2","11","0","1","2","33.33"
"7","Patrice Bergeron","BOS","C","46","159.08333333333","6","7","4","3","13","38.24","40","15.00","8.05","84","58","67","32","1","9","4","2","2","0","0","1","2","0","1","2","3","129","77","62.62"
"50","Logan Couture","S.J","C","48","145.26666666667","3","10","6","4","13","54.17","34","8.82","6.36","60","49","47","25","5","6","2","1","1","0","0","0","3","1","2","3","0","22","16","57.89"
"146","Jeff Skinner","BUF","L","43","152.6","6","7","4","3","13","50.00","30","20.00","5.75","54","42","35","18","1","5","4","2","2","0","0","1","2","0","0","6","0","22","23","48.89"
"170","Johnny Gaudreau","CBJ","L","47","138.81666666667","1","12","9","3","13","81.25","31","3.23","4.54","58","45","32","12","1","5","8","4","4","0","0","1","6","3","0","0","1","0","0","-"
"173","Vincent Trocheck","NYR","C","47","185.85","8","5","1","4","13","46.43","55","14.55","10.12","91","74","76","40","0","10","0","0","0","0","0","0","8","3","1","10","0","108","79","57.75"
"208","Jonathan Marchessault","VGK","C, R","42","105.45","7","6","2","4","13","65.00","35","20.00","3.83","60","45","33","5","0","7","0","0","0","0","0","0","2","0","6","2","0","0","1","0.00"
"231","Filip Forsberg","NSH","L","46","146.21666666667","4","9","4","5","13","61.90","39","10.26","5.56","89","63","47","15","0","5","6","3","3","0","0","1","6","1","3","2","0","0","0","-"
"289","Andre Burakovsky","SEA","L","45","115.28333333333","4","9","4","5","13","76.47","20","20.00","1.78","48","31","18","1","0","1","0","0","0","0","0","1","3","2","0","3","0","0","0","-"
"344","Dylan Larkin","DET","C","44","161.06666666667","7","6","1","5","13","56.52","38","18.42","6.38","66","50","54","24","0","6","2","1","1","0","0","3","5","3","0","4","1","83","67","55.33"
"413","Travis Konecny","PHI","R","42","135.11666666667","5","8","6","2","13","68.42","24","20.83","4.78","55","42","27","7","0","4","0","0","0","0","0","0","2","0","1","8","1","2","3","40.00"
"428","Thomas Chabot","OTT","D","41","166.61666666667","5","8","3","5","13","41.94","24","20.83","2.11","45","33","12","0","0","5","4","2","2","0","0","0","7","3","2","2","3","0","0","-"
"516","Filip Hronek","DET","D","45","111.78333333333","3","10","6","4","13","68.42","18","16.67","1.56","38","25","9","1","0","5","0","0","0","0","0","0","1","1","3","0","3","0","0","-"
"564","Elias Pettersson","VAN","C","44","166.06666666667","0","13","7","6","13","46.43","38","0.00","4.35","93","60","47","7","0","5","2","1","1","0","0","0","5","2","2","4","1","2","1","66.67"
"17","Sidney Crosby","PIT","C","46","184.3","3","9","6","3","12","52.17","34","8.82","4.84","62","40","45","18","1","7","2","1","1","0","0","2","6","4","0","4","1","92","78","54.12"
"204","Phillip Danault","L.A","C","49","107.68333333333","3","9","3","6","12","60.00","9","33.33","0.92","18","13","9","3","0","0","0","0","0","0","0","0","4","3","1","5","0","57","33","63.33"
"228","Tomas Hertl","S.J","C","46","136.76666666667","4","8","2","6","12","52.17","26","15.38","5.3","44","39","34","19","0","4","2","1","1","0","0","0","1","1","1","4","0","74","57","56.49"
